user_id,artist_id,weight,username
2,51,5.0,Joseph Stiles
2,52,4.3,Joseph Stiles
2,53,4.19,Joseph Stiles
2,54,3.86,Joseph Stiles
2,55,3.44,Joseph Stiles
2,56,2.54,Joseph Stiles
2,57,2.48,Joseph Stiles
2,58,2.05,Joseph Stiles
2,59,1.96,Joseph Stiles
2,60,1.9,Joseph Stiles
2,61,1.83,Joseph Stiles
2,62,1.79,Joseph Stiles
2,63,1.77,Joseph Stiles
2,64,1.74,Joseph Stiles
2,65,1.72,Joseph Stiles
2,66,1.64,Joseph Stiles
2,67,1.63,Joseph Stiles
2,68,1.51,Joseph Stiles
2,69,1.45,Joseph Stiles
2,70,1.44,Joseph Stiles
2,71,1.43,Joseph Stiles
2,72,1.42,Joseph Stiles
2,73,1.4,Joseph Stiles
2,74,1.39,Joseph Stiles
2,75,1.34,Joseph Stiles
2,76,1.34,Joseph Stiles
2,77,1.26,Joseph Stiles
2,78,1.26,Joseph Stiles
2,79,1.21,Joseph Stiles
2,80,1.21,Joseph Stiles
2,81,1.2,Joseph Stiles
2,82,1.18,Joseph Stiles
2,83,1.15,Joseph Stiles
2,84,1.14,Joseph Stiles
2,85,1.1,Joseph Stiles
2,86,1.09,Joseph Stiles
2,87,1.08,Joseph Stiles
2,88,1.08,Joseph Stiles
2,89,1.06,Joseph Stiles
2,90,1.05,Joseph Stiles
2,91,1.04,Joseph Stiles
2,92,1.03,Joseph Stiles
2,93,1.03,Joseph Stiles
2,94,1.02,Joseph Stiles
2,95,1.02,Joseph Stiles
2,96,1.01,Joseph Stiles
2,97,1.01,Joseph Stiles
2,98,1.01,Joseph Stiles
2,99,1.0,Joseph Stiles
2,100,1.0,Joseph Stiles
3,101,5.0,Robert Mansur
3,102,1.18,Robert Mansur
3,103,1.13,Robert Mansur
3,104,1.11,Robert Mansur
3,105,1.1,Robert Mansur
3,106,1.09,Robert Mansur
3,107,1.06,Robert Mansur
3,108,1.05,Robert Mansur
3,109,1.05,Robert Mansur
3,110,1.05,Robert Mansur
3,111,1.04,Robert Mansur
3,112,1.04,Robert Mansur
3,113,1.04,Robert Mansur
3,114,1.03,Robert Mansur
3,115,1.03,Robert Mansur
3,116,1.03,Robert Mansur
3,117,1.03,Robert Mansur
3,118,1.02,Robert Mansur
3,119,1.02,Robert Mansur
3,120,1.02,Robert Mansur
3,121,1.01,Robert Mansur
3,122,1.01,Robert Mansur
3,123,1.01,Robert Mansur
3,124,1.01,Robert Mansur
3,125,1.01,Robert Mansur
3,126,1.01,Robert Mansur
3,127,1.01,Robert Mansur
3,128,1.01,Robert Mansur
3,129,1.01,Robert Mansur
3,130,1.01,Robert Mansur
3,131,1.01,Robert Mansur
3,132,1.01,Robert Mansur
3,133,1.01,Robert Mansur
3,134,1.0,Robert Mansur
3,135,1.0,Robert Mansur
3,136,1.0,Robert Mansur
3,137,1.0,Robert Mansur
3,138,1.0,Robert Mansur
3,139,1.0,Robert Mansur
3,140,1.0,Robert Mansur
3,141,1.0,Robert Mansur
3,142,1.0,Robert Mansur
3,143,1.0,Robert Mansur
3,144,1.0,Robert Mansur
3,145,1.0,Robert Mansur
3,146,1.0,Robert Mansur
